Rank,Name,Count,Sex
87,Francesca ,646,Female
88,Faith ,642,Female
89,Harper ,623,Female
90,Nancy ,615,Female
91,Beatrice ,610,Female
92,Isabel ,608,Female
93,Darcy ,606,Female
94,Lydia ,602,Female
95,Sarah ,601,Female
96,Sara ,596,Female
97,Julia ,593,Female
98,Victoria ,584,Female
99,Zoe ,580,Female
100,Robyn ,577,Female
1,Oliver ," 6,649 ",Male
2,Jack ," 5,804 ",Male
3,Harry ," 5,379 ",Male
4,Jacob ," 5,050 ",Male
5,Charlie ," 4,642 ",Male
6,Thomas ," 4,405 ",Male
7,George ," 4,320 ",Male
8,Oscar ," 4,269 ",Male
9,James ," 4,167 ",Male
10,William ," 4,134 ",Male
11,Noah ," 4,085 ",Male
12,Alfie ," 3,868 ",Male
13,Joshua ," 3,812 ",Male
14,Muhammad ," 3,588 ",Male
15,Henry ," 3,572 ",Male
16,Leo ," 3,414 ",Male
17,Archie ," 3,099 ",Male
18,Ethan ," 3,061 ",Male
19,Joseph ," 3,041 ",Male
20,Freddie ," 3,023 ",Male
21,Samuel ," 3,021 ",Male
22,Alexander ," 2,978 ",Male
23,Logan ," 2,813 ",Male
24,Daniel ," 2,775 ",Male
25,Isaac ," 2,636 ",Male
26,Max ," 2,602 ",Male
27,Mohammed ," 2,536 ",Male
28,Benjamin ," 2,490 ",Male
29,Mason ," 2,470 ",Male
30,Lucas ," 2,445 ",Male
31,Edward ," 2,417 ",Male
32,Harrison ," 2,214 ",Male
33,Jake ," 2,207 ",Male
34,Dylan ," 2,188 ",Male
35,Riley ," 2,177 ",Male
36,Finley ," 2,115 ",Male
37,Theo ," 2,008 ",Male
38,Sebastian ," 1,965 ",Male
39,Adam ," 1,790 ",Male
40,Zachary ," 1,670 ",Male
41,Arthur ," 1,649 ",Male
42,Toby ," 1,352 ",Male
43,Jayden ," 1,334 ",Male
44,Luke ," 1,322 ",Male
45,Harley ," 1,303 ",Male
46,Lewis ," 1,236 ",Male
47,Tyler ," 1,235 ",Male
48,Harvey ," 1,228 ",Male
49,Matthew ," 1,216 ",Male
50,David ," 1,209 ",Male
51,Reuben ," 1,166 ",Male
52,Michael ," 1,139 ",Male
53,Elijah ," 1,125 ",Male
54,Kian ," 1,123 ",Male
55,Tommy ," 1,120 ",Male
56,Mohammad ," 1,116 ",Male
57,Blake ," 1,106 ",Male
58,Luca ," 1,101 ",Male
59,Theodore ," 1,090 ",Male
60,Stanley ," 1,059 ",Male
61,Jenson ," 1,058 ",Male
62,Nathan ," 1,055 ",Male
63,Charles ," 1,037 ",Male
64,Frankie ," 1,030 ",Male
65,Jude ," 1,018 ",Male
66,Teddy ," 1,017 ",Male
67,Louie ," 1,015 ",Male
68,Louis , 999 ,Male
69,Ryan , 989 ,Male
70,Hugo , 956 ,Male
71,Bobby , 922 ,Male
72,Elliott , 914 ,Male
73,Dexter , 908 ,Male
74,Ollie , 906 ,Male
75,Alex , 903 ,Male
76,Liam , 902 ,Male
77,Kai , 858 ,Male
78,Gabriel , 842 ,Male
79,Connor , 841 ,Male
80,Aaron , 819 ,Male
81,Frederick , 815 ,Male
82,Callum , 803 ,Male
83,Elliot , 780 ,Male
84,Albert , 778 ,Male
85,Leon , 765 ,Male
86,Ronnie , 756 ,Male
87,Rory , 755 ,Male
88,Jamie , 749 ,Male
89,Austin , 707 ,Male
90,Seth , 694 ,Male
91,Ibrahim , 669 ,Male
92,Owen , 663 ,Male
93,Caleb , 648 ,Male
94,Ellis , 641 ,Male
95,Sonny , 640 ,Male
96,Robert , 631 ,Male
97,Joey , 627 ,Male
98,Felix , 614 ,Male
99,Finlay , 611 ,Male
100,Jackson , 602 ,Male
